"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,29,35,23,"Boston","MA"
"2",2001-01-02,24,30,19,"Boston","MA"
"3",2001-01-03,25,32,18,"Boston","MA"
"4",2001-01-04,27,33,21,"Boston","MA"
"5",2001-01-05,27,33,21,"Boston","MA"
"6",2001-01-06,32,36,28,"Boston","MA"
"7",2001-01-07,31,35,27,"Boston","MA"
"8",2001-01-08,32,37,26,"Boston","MA"
"9",2001-01-09,28,33,24,"Boston","MA"
"10",2001-01-10,19,26,12,"Boston","MA"
"11",2001-01-11,29,39,19,"Boston","MA"
"12",2001-01-12,28,32,24,"Boston","MA"
"13",2001-01-13,28,36,19,"Boston","MA"
"14",2001-01-14,36,43,28,"Boston","MA"
"15",2001-01-15,30,37,24,"Boston","MA"
"16",2001-01-16,34,41,26,"Boston","MA"
"17",2001-01-17,36,41,30,"Boston","MA"
"18",2001-01-18,26,32,21,"Boston","MA"
"19",2001-01-19,34,37,30,"Boston","MA"
"20",2001-01-20,31,34,25,"Boston","MA"
"21",2001-01-21,24,28,19,"Boston","MA"
"22",2001-01-22,26,33,19,"Boston","MA"
"23",2001-01-23,28,36,21,"Boston","MA"
"24",2001-01-24,32,37,28,"Boston","MA"
"25",2001-01-25,34,39,27,"Boston","MA"
"26",2001-01-26,28,34,21,"Boston","MA"
"27",2001-01-27,32,36,28,"Boston","MA"
"28",2001-01-28,32,36,27,"Boston","MA"
"29",2001-01-29,30,35,24,"Boston","MA"
"30",2001-01-30,34,39,28,"Boston","MA"
"31",2001-01-31,38,43,32,"Boston","MA"
"32",2001-02-01,38,45,30,"Boston","MA"
"33",2001-02-02,33,36,30,"Boston","MA"
"34",2001-02-03,28,33,24,"Boston","MA"
"35",2001-02-04,26,32,19,"Boston","MA"
"36",2001-02-05,34,39,28,"Boston","MA"
"37",2001-02-06,38,45,32,"Boston","MA"
"38",2001-02-07,37,41,33,"Boston","MA"
"39",2001-02-08,34,37,30,"Boston","MA"
"40",2001-02-09,39,46,32,"Boston","MA"
"41",2001-02-10,38,50,24,"Boston","MA"
"42",2001-02-11,20,25,14,"Boston","MA"
"43",2001-02-12,19,28,10,"Boston","MA"
"44",2001-02-13,36,45,26,"Boston","MA"
"45",2001-02-14,36,44,27,"Boston","MA"
"46",2001-02-15,36,43,30,"Boston","MA"
"47",2001-02-16,33,39,27,"Boston","MA"
"48",2001-02-17,28,37,18,"Boston","MA"
"49",2001-02-18,20,28,12,"Boston","MA"
"50",2001-02-19,30,39,21,"Boston","MA"
"51",2001-02-20,44,53,36,"Boston","MA"
"52",2001-02-21,30,42,19,"Boston","MA"
"53",2001-02-22,18,23,12,"Boston","MA"
"54",2001-02-23,28,36,21,"Boston","MA"
"55",2001-02-24,26,30,21,"Boston","MA"
"56",2001-02-25,36,45,26,"Boston","MA"
"57",2001-02-26,39,44,33,"Boston","MA"
"58",2001-02-27,35,42,28,"Boston","MA"
"59",2001-02-28,26,30,21,"Boston","MA"
"60",2001-03-01,24,28,19,"Boston","MA"
"61",2001-03-02,22,27,17,"Boston","MA"
"62",2001-03-03,24,28,21,"Boston","MA"
"63",2001-03-04,26,30,21,"Boston","MA"
"64",2001-03-05,32,33,30,"Boston","MA"
"65",2001-03-06,32,33,30,"Boston","MA"
"66",2001-03-07,29,32,26,"Boston","MA"
"67",2001-03-08,30,36,25,"Boston","MA"
"68",2001-03-09,32,37,28,"Boston","MA"
"69",2001-03-10,36,41,30,"Boston","MA"
"70",2001-03-11,37,46,28,"Boston","MA"
"71",2001-03-12,32,37,28,"Boston","MA"
"72",2001-03-13,34,37,30,"Boston","MA"
"73",2001-03-14,40,44,35,"Boston","MA"
"74",2001-03-15,43,50,36,"Boston","MA"
"75",2001-03-16,43,50,36,"Boston","MA"
"76",2001-03-17,36,39,33,"Boston","MA"
"77",2001-03-18,40,46,33,"Boston","MA"
"78",2001-03-19,42,50,35,"Boston","MA"
"79",2001-03-20,40,46,35,"Boston","MA"
"80",2001-03-21,40,43,36,"Boston","MA"
"81",2001-03-22,40,43,36,"Boston","MA"
"82",2001-03-23,38,43,33,"Boston","MA"
"83",2001-03-24,42,48,37,"Boston","MA"
"84",2001-03-25,38,43,32,"Boston","MA"
"85",2001-03-26,34,37,30,"Boston","MA"
"86",2001-03-27,30,36,25,"Boston","MA"
"87",2001-03-28,38,45,32,"Boston","MA"
"88",2001-03-29,37,44,30,"Boston","MA"
"89",2001-03-30,36,39,33,"Boston","MA"
"90",2001-03-31,39,43,35,"Boston","MA"
"91",2001-04-01,34,36,33,"Boston","MA"
"92",2001-04-02,36,41,32,"Boston","MA"
"93",2001-04-03,39,48,32,"Boston","MA"
"94",2001-04-04,40,46,35,"Boston","MA"
"95",2001-04-05,46,55,37,"Boston","MA"
"96",2001-04-06,42,48,37,"Boston","MA"
"97",2001-04-07,40,44,37,"Boston","MA"
"98",2001-04-08,37,39,35,"Boston","MA"
"99",2001-04-09,52,64,39,"Boston","MA"
"100",2001-04-10,48,53,44,"Boston","MA"
"101",2001-04-11,49,57,43,"Boston","MA"
"102",2001-04-12,44,45,42,"Boston","MA"
"103",2001-04-13,53,64,42,"Boston","MA"
"104",2001-04-14,52,60,44,"Boston","MA"
"105",2001-04-15,50,60,41,"Boston","MA"
"106",2001-04-16,42,48,39,"Boston","MA"
"107",2001-04-17,44,48,39,"Boston","MA"
"108",2001-04-18,42,53,33,"Boston","MA"
"109",2001-04-19,44,53,36,"Boston","MA"
