"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,28,30,26,"Dallas","TX"
"2",2001-01-02,28,30,23,"Dallas","TX"
"3",2001-01-03,34,50,19,"Dallas","TX"
"4",2001-01-04,48,64,32,"Dallas","TX"
"5",2001-01-05,49,64,34,"Dallas","TX"
"6",2001-01-06,49,66,32,"Dallas","TX"
"7",2001-01-07,48,57,37,"Dallas","TX"
"8",2001-01-08,45,57,33,"Dallas","TX"
"9",2001-01-09,46,61,30,"Dallas","TX"
"10",2001-01-10,41,45,37,"Dallas","TX"
"11",2001-01-11,40,44,37,"Dallas","TX"
"12",2001-01-12,42,44,39,"Dallas","TX"
"13",2001-01-13,46,52,39,"Dallas","TX"
"14",2001-01-14,47,55,33,"Dallas","TX"
"15",2001-01-15,42,55,30,"Dallas","TX"
"16",2001-01-16,44,50,37,"Dallas","TX"
"17",2001-01-17,37,39,35,"Dallas","TX"
"18",2001-01-18,35,37,33,"Dallas","TX"
"19",2001-01-19,34,42,26,"Dallas","TX"
"20",2001-01-20,31,41,21,"Dallas","TX"
"21",2001-01-21,39,45,33,"Dallas","TX"
"22",2001-01-22,39,52,26,"Dallas","TX"
"23",2001-01-23,46,55,37,"Dallas","TX"
"24",2001-01-24,48,57,39,"Dallas","TX"
"25",2001-01-25,45,57,33,"Dallas","TX"
"26",2001-01-26,57,68,46,"Dallas","TX"
"27",2001-01-27,39,46,32,"Dallas","TX"
"28",2001-01-28,51,61,39,"Dallas","TX"
"29",2001-01-29,50,60,39,"Dallas","TX"
"30",2001-01-30,51,60,42,"Dallas","TX"
"31",2001-01-31,45,53,35,"Dallas","TX"
"32",2001-02-01,42,57,28,"Dallas","TX"
"33",2001-02-02,40,50,30,"Dallas","TX"
"34",2001-02-03,47,62,32,"Dallas","TX"
"35",2001-02-04,50,63,37,"Dallas","TX"
"36",2001-02-05,48,64,33,"Dallas","TX"
"37",2001-02-06,59,72,46,"Dallas","TX"
"38",2001-02-07,58,70,46,"Dallas","TX"
"39",2001-02-08,68,71,66,"Dallas","TX"
"40",2001-02-09,50,71,28,"Dallas","TX"
"41",2001-02-10,34,42,26,"Dallas","TX"
"42",2001-02-11,40,43,37,"Dallas","TX"
"43",2001-02-12,44,46,42,"Dallas","TX"
"44",2001-02-13,54,61,46,"Dallas","TX"
"45",2001-02-14,66,72,61,"Dallas","TX"
"46",2001-02-15,52,66,39,"Dallas","TX"
"47",2001-02-16,40,46,33,"Dallas","TX"
"48",2001-02-17,36,43,28,"Dallas","TX"
"49",2001-02-18,42,54,30,"Dallas","TX"
"50",2001-02-19,53,63,43,"Dallas","TX"
"51",2001-02-20,64,75,53,"Dallas","TX"
"52",2001-02-21,50,60,37,"Dallas","TX"
"53",2001-02-22,42,53,30,"Dallas","TX"
"54",2001-02-23,54,64,44,"Dallas","TX"
"55",2001-02-24,65,73,57,"Dallas","TX"
"56",2001-02-25,57,66,48,"Dallas","TX"
"57",2001-02-26,55,66,44,"Dallas","TX"
"58",2001-02-27,51,57,45,"Dallas","TX"
"59",2001-02-28,36,39,33,"Dallas","TX"
"60",2001-03-01,40,46,35,"Dallas","TX"
"61",2001-03-02,48,55,42,"Dallas","TX"
"62",2001-03-03,47,50,43,"Dallas","TX"
"63",2001-03-04,49,62,36,"Dallas","TX"
"64",2001-03-05,50,60,39,"Dallas","TX"
"65",2001-03-06,53,64,42,"Dallas","TX"
"66",2001-03-07,57,70,44,"Dallas","TX"
"67",2001-03-08,54,61,46,"Dallas","TX"
"68",2001-03-09,51,61,41,"Dallas","TX"
"69",2001-03-10,54,63,44,"Dallas","TX"
"70",2001-03-11,59,63,55,"Dallas","TX"
"71",2001-03-12,59,66,52,"Dallas","TX"
"72",2001-03-13,57,69,45,"Dallas","TX"
"73",2001-03-14,56,61,52,"Dallas","TX"
"74",2001-03-15,55,64,45,"Dallas","TX"
"75",2001-03-16,46,55,37,"Dallas","TX"
"76",2001-03-17,49,55,43,"Dallas","TX"
"77",2001-03-18,47,48,46,"Dallas","TX"
"78",2001-03-19,49,54,44,"Dallas","TX"
"79",2001-03-20,50,62,37,"Dallas","TX"
"80",2001-03-21,57,73,41,"Dallas","TX"
"81",2001-03-22,64,75,52,"Dallas","TX"
"82",2001-03-23,62,71,53,"Dallas","TX"
"83",2001-03-24,54,64,45,"Dallas","TX"
"84",2001-03-25,46,52,41,"Dallas","TX"
