"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,20,24,12,"Detroit","MI"
"2",2001-01-02,14,24,5,"Detroit","MI"
"3",2001-01-03,15,26,5,"Detroit","MI"
"4",2001-01-04,26,27,24,"Detroit","MI"
"5",2001-01-05,31,36,26,"Detroit","MI"
"6",2001-01-06,28,33,24,"Detroit","MI"
"7",2001-01-07,30,33,28,"Detroit","MI"
"8",2001-01-08,20,30,10,"Detroit","MI"
"9",2001-01-09,16,27,5,"Detroit","MI"
"10",2001-01-10,28,37,18,"Detroit","MI"
"11",2001-01-11,30,37,23,"Detroit","MI"
"12",2001-01-12,32,33,30,"Detroit","MI"
"13",2001-01-13,30,33,28,"Detroit","MI"
"14",2001-01-14,32,36,28,"Detroit","MI"
"15",2001-01-15,35,36,34,"Detroit","MI"
"16",2001-01-16,34,36,33,"Detroit","MI"
"17",2001-01-17,30,33,26,"Detroit","MI"
"18",2001-01-18,26,30,23,"Detroit","MI"
"19",2001-01-19,24,32,17,"Detroit","MI"
"20",2001-01-20,18,24,12,"Detroit","MI"
"21",2001-01-21,18,27,10,"Detroit","MI"
"22",2001-01-22,27,30,24,"Detroit","MI"
"23",2001-01-23,30,36,24,"Detroit","MI"
"24",2001-01-24,28,30,24,"Detroit","MI"
"25",2001-01-25,22,27,17,"Detroit","MI"
"26",2001-01-26,22,30,14,"Detroit","MI"
"27",2001-01-27,23,30,14,"Detroit","MI"
"28",2001-01-28,19,26,12,"Detroit","MI"
"29",2001-01-29,27,35,19,"Detroit","MI"
"30",2001-01-30,38,41,35,"Detroit","MI"
"31",2001-01-31,35,37,33,"Detroit","MI"
"32",2001-02-01,32,35,30,"Detroit","MI"
"33",2001-02-02,22,30,15,"Detroit","MI"
"34",2001-02-03,20,27,12,"Detroit","MI"
"35",2001-02-04,32,37,27,"Detroit","MI"
"36",2001-02-05,33,36,30,"Detroit","MI"
"37",2001-02-06,31,34,28,"Detroit","MI"
"38",2001-02-07,30,35,24,"Detroit","MI"
"39",2001-02-08,34,39,30,"Detroit","MI"
"40",2001-02-09,44,55,30,"Detroit","MI"
"41",2001-02-10,24,28,19,"Detroit","MI"
