"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,54,66,43,"Miami","FL"
"2",2001-01-02,62,70,53,"Miami","FL"
"3",2001-01-03,58,69,48,"Miami","FL"
"4",2001-01-04,53,60,46,"Miami","FL"
"5",2001-01-05,51,63,39,"Miami","FL"
"6",2001-01-06,61,72,50,"Miami","FL"
"7",2001-01-07,61,72,50,"Miami","FL"
"8",2001-01-08,66,80,52,"Miami","FL"
"9",2001-01-09,57,66,46,"Miami","FL"
"10",2001-01-10,56,68,43,"Miami","FL"
"11",2001-01-11,64,71,57,"Miami","FL"
"12",2001-01-12,66,77,55,"Miami","FL"
"13",2001-01-13,62,71,53,"Miami","FL"
"14",2001-01-14,66,77,55,"Miami","FL"
"15",2001-01-15,70,77,62,"Miami","FL"
"16",2001-01-16,70,79,62,"Miami","FL"
"17",2001-01-17,72,79,64,"Miami","FL"
"18",2001-01-18,75,80,70,"Miami","FL"
"19",2001-01-19,76,80,71,"Miami","FL"
"20",2001-01-20,69,81,54,"Miami","FL"
"21",2001-01-21,56,66,45,"Miami","FL"
"22",2001-01-22,52,55,48,"Miami","FL"
"23",2001-01-23,53,64,42,"Miami","FL"
"24",2001-01-24,59,70,48,"Miami","FL"
"25",2001-01-25,57,66,48,"Miami","FL"
"26",2001-01-26,58,69,48,"Miami","FL"
"27",2001-01-27,64,70,57,"Miami","FL"
"28",2001-01-28,64,73,55,"Miami","FL"
"29",2001-01-29,70,75,66,"Miami","FL"
"30",2001-01-30,74,80,69,"Miami","FL"
"31",2001-01-31,72,82,62,"Miami","FL"
"32",2001-02-01,74,81,66,"Miami","FL"
"33",2001-02-02,74,80,66,"Miami","FL"
"34",2001-02-03,72,80,64,"Miami","FL"
"35",2001-02-04,74,81,66,"Miami","FL"
"36",2001-02-05,66,71,61,"Miami","FL"
"37",2001-02-06,65,73,57,"Miami","FL"
"38",2001-02-07,69,77,61,"Miami","FL"
"39",2001-02-08,73,77,69,"Miami","FL"
"40",2001-02-09,74,79,69,"Miami","FL"
"41",2001-02-10,76,81,72,"Miami","FL"
"42",2001-02-11,76,81,71,"Miami","FL"
"43",2001-02-12,76,80,71,"Miami","FL"
"44",2001-02-13,76,80,72,"Miami","FL"
"45",2001-02-14,76,80,72,"Miami","FL"
"46",2001-02-15,76,81,70,"Miami","FL"
"47",2001-02-16,76,80,71,"Miami","FL"
"48",2001-02-17,78,86,69,"Miami","FL"
"49",2001-02-18,70,75,66,"Miami","FL"
"50",2001-02-19,73,77,69,"Miami","FL"
"51",2001-02-20,74,79,70,"Miami","FL"
"52",2001-02-21,72,78,66,"Miami","FL"
"53",2001-02-22,72,79,64,"Miami","FL"
"54",2001-02-23,73,82,64,"Miami","FL"
"55",2001-02-24,76,81,72,"Miami","FL"
"56",2001-02-25,78,82,73,"Miami","FL"
"57",2001-02-26,77,82,72,"Miami","FL"
"58",2001-02-27,75,82,68,"Miami","FL"
"59",2001-02-28,76,82,70,"Miami","FL"
"60",2001-03-01,74,84,64,"Miami","FL"
"61",2001-03-02,73,82,64,"Miami","FL"
"62",2001-03-03,79,87,71,"Miami","FL"
"63",2001-03-04,77,88,66,"Miami","FL"
"64",2001-03-05,66,73,57,"Miami","FL"
"65",2001-03-06,64,73,54,"Miami","FL"
"66",2001-03-07,62,71,52,"Miami","FL"
"67",2001-03-08,62,75,50,"Miami","FL"
"68",2001-03-09,66,78,54,"Miami","FL"
"69",2001-03-10,72,81,64,"Miami","FL"
"70",2001-03-11,74,82,66,"Miami","FL"
"71",2001-03-12,76,81,70,"Miami","FL"
"72",2001-03-13,82,90,73,"Miami","FL"
"73",2001-03-14,78,84,73,"Miami","FL"
"74",2001-03-15,78,84,73,"Miami","FL"
"75",2001-03-16,81,87,75,"Miami","FL"
"76",2001-03-17,80,86,73,"Miami","FL"
"77",2001-03-18,76,82,71,"Miami","FL"
"78",2001-03-19,76,82,71,"Miami","FL"
"79",2001-03-20,72,81,64,"Miami","FL"
"80",2001-03-21,68,75,62,"Miami","FL"
"81",2001-03-22,66,75,57,"Miami","FL"
"82",2001-03-23,67,77,57,"Miami","FL"
"83",2001-03-24,69,77,61,"Miami","FL"
"84",2001-03-25,73,82,64,"Miami","FL"
"85",2001-03-26,72,82,63,"Miami","FL"
"86",2001-03-27,74,80,68,"Miami","FL"
"87",2001-03-28,74,78,70,"Miami","FL"
"88",2001-03-29,73,82,64,"Miami","FL"
"89",2001-03-30,75,86,64,"Miami","FL"
"90",2001-03-31,82,88,75,"Miami","FL"
"91",2001-04-01,76,82,69,"Miami","FL"
"92",2001-04-02,68,80,57,"Miami","FL"
"93",2001-04-03,74,80,68,"Miami","FL"
"94",2001-04-04,75,82,69,"Miami","FL"
"95",2001-04-05,75,82,69,"Miami","FL"
"96",2001-04-06,76,80,71,"Miami","FL"
"97",2001-04-07,77,82,73,"Miami","FL"
"98",2001-04-08,76,82,72,"Miami","FL"
"99",2001-04-09,75,82,68,"Miami","FL"
"100",2001-04-10,75,82,68,"Miami","FL"
"101",2001-04-11,78,84,72,"Miami","FL"
"102",2001-04-12,80,86,75,"Miami","FL"
"103",2001-04-13,80,87,75,"Miami","FL"
"104",2001-04-14,80,90,73,"Miami","FL"
"105",2001-04-15,80,90,72,"Miami","FL"
"106",2001-04-16,80,90,70,"Miami","FL"
"107",2001-04-17,77,90,64,"Miami","FL"
"108",2001-04-18,70,75,62,"Miami","FL"
"109",2001-04-19,67,75,59,"Miami","FL"
"110",2001-04-20,74,79,69,"Miami","FL"
"111",2001-04-21,75,81,70,"Miami","FL"
"112",2001-04-22,76,82,72,"Miami","FL"
"113",2001-04-23,77,82,73,"Miami","FL"
"114",2001-04-24,76,82,72,"Miami","FL"
"115",2001-04-25,76,87,69,"Miami","FL"
"116",2001-04-26,76,84,69,"Miami","FL"
"117",2001-04-27,74,80,71,"Miami","FL"
"118",2001-04-28,75,80,72,"Miami","FL"
"119",2001-04-29,73,75,71,"Miami","FL"
"120",2001-04-30,74,78,70,"Miami","FL"
"121",2001-05-01,73,78,69,"Miami","FL"
"122",2001-05-02,74,79,69,"Miami","FL"
"123",2001-05-03,74,82,66,"Miami","FL"
"124",2001-05-04,76,81,70,"Miami","FL"
"125",2001-05-05,75,82,69,"Miami","FL"
"126",2001-05-06,77,82,72,"Miami","FL"
"127",2001-05-07,75,82,68,"Miami","FL"
"128",2001-05-08,74,79,71,"Miami","FL"
"129",2001-05-09,74,79,70,"Miami","FL"
"130",2001-05-10,75,81,71,"Miami","FL"
"131",2001-05-11,76,80,72,"Miami","FL"
"132",2001-05-12,73,81,66,"Miami","FL"
"133",2001-05-13,74,84,64,"Miami","FL"
"134",2001-05-14,76,86,68,"Miami","FL"
"135",2001-05-15,78,82,73,"Miami","FL"
"136",2001-05-16,80,89,73,"Miami","FL"
"137",2001-05-17,77,90,66,"Miami","FL"
"138",2001-05-18,78,88,68,"Miami","FL"
"139",2001-05-19,78,86,72,"Miami","FL"
"140",2001-05-20,80,87,73,"Miami","FL"
"141",2001-05-21,80,87,77,"Miami","FL"
"142",2001-05-22,83,90,78,"Miami","FL"
"143",2001-05-23,78,84,73,"Miami","FL"
"144",2001-05-24,80,88,73,"Miami","FL"
"145",2001-05-25,78,82,75,"Miami","FL"
"146",2001-05-26,78,84,71,"Miami","FL"
"147",2001-05-27,78,84,72,"Miami","FL"
"148",2001-05-28,78,82,73,"Miami","FL"
"149",2001-05-29,80,87,75,"Miami","FL"
"150",2001-05-30,82,88,77,"Miami","FL"
"151",2001-05-31,82,88,77,"Miami","FL"
"152",2001-06-01,80,89,72,"Miami","FL"
"153",2001-06-02,81,88,75,"Miami","FL"
"154",2001-06-03,82,88,75,"Miami","FL"
"155",2001-06-04,82,89,75,"Miami","FL"
"156",2001-06-05,80,87,75,"Miami","FL"
"157",2001-06-06,83,88,79,"Miami","FL"
"158",2001-06-07,82,89,77,"Miami","FL"
"159",2001-06-08,83,90,78,"Miami","FL"
"160",2001-06-09,84,91,78,"Miami","FL"
"161",2001-06-10,83,93,75,"Miami","FL"
"162",2001-06-11,85,93,77,"Miami","FL"
"163",2001-06-12,86,93,80,"Miami","FL"
"164",2001-06-13,85,93,79,"Miami","FL"
"165",2001-06-14,84,91,79,"Miami","FL"
"166",2001-06-15,85,91,80,"Miami","FL"
"167",2001-06-16,84,91,77,"Miami","FL"
"168",2001-06-17,82,89,75,"Miami","FL"
"169",2001-06-18,82,89,75,"Miami","FL"
"170",2001-06-19,84,90,79,"Miami","FL"
"171",2001-06-20,84,90,79,"Miami","FL"
"172",2001-06-21,83,89,78,"Miami","FL"
"173",2001-06-22,79,89,71,"Miami","FL"
"174",2001-06-23,80,91,71,"Miami","FL"
"175",2001-06-24,82,91,73,"Miami","FL"
"176",2001-06-25,78,88,70,"Miami","FL"
"177",2001-06-26,79,88,71,"Miami","FL"
"178",2001-06-27,82,89,77,"Miami","FL"
"179",2001-06-28,76,82,72,"Miami","FL"
"180",2001-06-29,82,89,75,"Miami","FL"
"181",2001-06-30,83,89,78,"Miami","FL"
"182",2001-07-01,84,89,80,"Miami","FL"
"183",2001-07-02,82,89,77,"Miami","FL"
"184",2001-07-03,84,90,79,"Miami","FL"
"185",2001-07-04,81,88,75,"Miami","FL"
"186",2001-07-05,81,90,73,"Miami","FL"
"187",2001-07-06,84,91,77,"Miami","FL"
"188",2001-07-07,84,89,80,"Miami","FL"
"189",2001-07-08,80,91,73,"Miami","FL"
"190",2001-07-09,78,84,73,"Miami","FL"
"191",2001-07-10,80,88,73,"Miami","FL"
"192",2001-07-11,78,86,73,"Miami","FL"
"193",2001-07-12,82,91,73,"Miami","FL"
"194",2001-07-13,85,93,77,"Miami","FL"
"195",2001-07-14,81,89,73,"Miami","FL"
"196",2001-07-15,80,86,73,"Miami","FL"
"197",2001-07-16,84,93,75,"Miami","FL"
"198",2001-07-17,82,90,75,"Miami","FL"
"199",2001-07-18,83,89,77,"Miami","FL"
"200",2001-07-19,84,90,78,"Miami","FL"
"201",2001-07-20,84,89,77,"Miami","FL"
"202",2001-07-21,81,90,73,"Miami","FL"
"203",2001-07-22,80,86,73,"Miami","FL"
"204",2001-07-23,80,87,73,"Miami","FL"
"205",2001-07-24,80,89,72,"Miami","FL"
"206",2001-07-25,83,88,78,"Miami","FL"
"207",2001-07-26,82,89,75,"Miami","FL"
"208",2001-07-27,83,89,78,"Miami","FL"
"209",2001-07-28,84,90,79,"Miami","FL"
"210",2001-07-29,84,90,79,"Miami","FL"
"211",2001-07-30,86,91,80,"Miami","FL"
"212",2001-07-31,86,91,82,"Miami","FL"
"213",2001-08-01,78,84,73,"Miami","FL"
