"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,27,30,21,"New York City","NY"
"2",2001-01-02,22,26,18,"New York City","NY"
"3",2001-01-03,23,28,18,"New York City","NY"
"4",2001-01-04,28,33,24,"New York City","NY"
"5",2001-01-05,26,33,19,"New York City","NY"
"6",2001-01-06,32,39,26,"New York City","NY"
"7",2001-01-07,32,39,26,"New York City","NY"
"8",2001-01-08,34,39,30,"New York City","NY"
"9",2001-01-09,30,34,25,"New York City","NY"
"10",2001-01-10,28,32,23,"New York City","NY"
"11",2001-01-11,36,44,27,"New York City","NY"
"12",2001-01-12,36,41,28,"New York City","NY"
"13",2001-01-13,30,35,26,"New York City","NY"
"14",2001-01-14,32,37,27,"New York City","NY"
"15",2001-01-15,35,37,33,"New York City","NY"
"16",2001-01-16,40,44,35,"New York City","NY"
"17",2001-01-17,39,43,35,"New York City","NY"
"18",2001-01-18,33,36,30,"New York City","NY"
"19",2001-01-19,37,39,35,"New York City","NY"
"20",2001-01-20,34,37,30,"New York City","NY"
"21",2001-01-21,28,32,23,"New York City","NY"
"22",2001-01-22,28,32,23,"New York City","NY"
"23",2001-01-23,28,35,21,"New York City","NY"
"24",2001-01-24,33,41,25,"New York City","NY"
"25",2001-01-25,32,37,25,"New York City","NY"
"26",2001-01-26,26,32,21,"New York City","NY"
"27",2001-01-27,34,39,30,"New York City","NY"
"28",2001-01-28,32,37,28,"New York City","NY"
"29",2001-01-29,30,36,26,"New York City","NY"
"30",2001-01-30,42,51,34,"New York City","NY"
"31",2001-01-31,40,48,33,"New York City","NY"
"32",2001-02-01,43,50,36,"New York City","NY"
"33",2001-02-02,37,44,28,"New York City","NY"
"34",2001-02-03,30,33,25,"New York City","NY"
"35",2001-02-04,28,36,21,"New York City","NY"
"36",2001-02-05,34,39,30,"New York City","NY"
"37",2001-02-06,40,44,36,"New York City","NY"
"38",2001-02-07,40,45,35,"New York City","NY"
"39",2001-02-08,34,37,32,"New York City","NY"
"40",2001-02-09,42,46,37,"New York City","NY"
"41",2001-02-10,42,55,28,"New York City","NY"
"42",2001-02-11,26,32,21,"New York City","NY"
"43",2001-02-12,26,35,16,"New York City","NY"
"44",2001-02-13,40,48,32,"New York City","NY"
"45",2001-02-14,37,44,30,"New York City","NY"
"46",2001-02-15,42,46,36,"New York City","NY"
"47",2001-02-16,36,42,30,"New York City","NY"
"48",2001-02-17,30,39,21,"New York City","NY"
"49",2001-02-18,26,32,19,"New York City","NY"
"50",2001-02-19,32,39,25,"New York City","NY"
"51",2001-02-20,44,50,37,"New York City","NY"
"52",2001-02-21,34,46,19,"New York City","NY"
"53",2001-02-22,20,24,17,"New York City","NY"
"54",2001-02-23,29,37,21,"New York City","NY"
"55",2001-02-24,29,33,25,"New York City","NY"
"56",2001-02-25,40,48,33,"New York City","NY"
"57",2001-02-26,42,50,35,"New York City","NY"
"58",2001-02-27,41,50,32,"New York City","NY"
"59",2001-02-28,32,36,27,"New York City","NY"
"60",2001-03-01,31,37,25,"New York City","NY"
"61",2001-03-02,36,43,30,"New York City","NY"
"62",2001-03-03,42,46,37,"New York City","NY"
"63",2001-03-04,34,37,30,"New York City","NY"
"64",2001-03-05,32,33,30,"New York City","NY"
"65",2001-03-06,30,33,26,"New York City","NY"
"66",2001-03-07,36,41,30,"New York City","NY"
"67",2001-03-08,32,39,26,"New York City","NY"
"68",2001-03-09,38,42,34,"New York City","NY"
"69",2001-03-10,40,46,34,"New York City","NY"
"70",2001-03-11,42,53,30,"New York City","NY"
"71",2001-03-12,37,44,30,"New York City","NY"
"72",2001-03-13,42,46,39,"New York City","NY"
"73",2001-03-14,44,48,39,"New York City","NY"
"74",2001-03-15,43,51,35,"New York City","NY"
"75",2001-03-16,46,53,39,"New York City","NY"
"76",2001-03-17,42,46,37,"New York City","NY"
"77",2001-03-18,40,46,35,"New York City","NY"
"78",2001-03-19,44,53,34,"New York City","NY"
"79",2001-03-20,44,51,36,"New York City","NY"
"80",2001-03-21,43,45,41,"New York City","NY"
"81",2001-03-22,40,44,37,"New York City","NY"
"82",2001-03-23,48,57,39,"New York City","NY"
"83",2001-03-24,44,51,34,"New York City","NY"
"84",2001-03-25,37,44,30,"New York City","NY"
"85",2001-03-26,32,37,27,"New York City","NY"
"86",2001-03-27,33,42,24,"New York City","NY"
"87",2001-03-28,38,46,30,"New York City","NY"
"88",2001-03-29,38,43,33,"New York City","NY"
"89",2001-03-30,41,43,39,"New York City","NY"
"90",2001-03-31,42,45,39,"New York City","NY"
"91",2001-04-01,40,42,37,"New York City","NY"
"92",2001-04-02,42,48,37,"New York City","NY"
"93",2001-04-03,44,52,37,"New York City","NY"
"94",2001-04-04,45,54,37,"New York City","NY"
"95",2001-04-05,47,57,37,"New York City","NY"
"96",2001-04-06,45,50,42,"New York City","NY"
"97",2001-04-07,46,51,42,"New York City","NY"
"98",2001-04-08,44,46,41,"New York City","NY"
"99",2001-04-09,52,63,44,"New York City","NY"
"100",2001-04-10,52,61,46,"New York City","NY"
"101",2001-04-11,48,52,45,"New York City","NY"
"102",2001-04-12,52,57,48,"New York City","NY"
"103",2001-04-13,60,73,48,"New York City","NY"
"104",2001-04-14,56,66,46,"New York City","NY"
"105",2001-04-15,52,61,46,"New York City","NY"
"106",2001-04-16,50,55,46,"New York City","NY"
"107",2001-04-17,48,50,44,"New York City","NY"
"108",2001-04-18,46,55,37,"New York City","NY"
"109",2001-04-19,43,52,35,"New York City","NY"
"110",2001-04-20,47,54,41,"New York City","NY"
"111",2001-04-21,55,61,50,"New York City","NY"
"112",2001-04-22,66,82,50,"New York City","NY"
"113",2001-04-23,65,75,54,"New York City","NY"
"114",2001-04-24,65,78,53,"New York City","NY"
"115",2001-04-25,51,55,46,"New York City","NY"
"116",2001-04-26,52,62,44,"New York City","NY"
"117",2001-04-27,52,63,44,"New York City","NY"
"118",2001-04-28,58,64,51,"New York City","NY"
"119",2001-04-29,50,59,44,"New York City","NY"
"120",2001-04-30,57,70,45,"New York City","NY"
"121",2001-05-01,66,81,53,"New York City","NY"
"122",2001-05-02,68,79,57,"New York City","NY"
"123",2001-05-03,71,84,60,"New York City","NY"
"124",2001-05-04,74,87,62,"New York City","NY"
"125",2001-05-05,64,75,54,"New York City","NY"
"126",2001-05-06,54,62,46,"New York City","NY"
"127",2001-05-07,48,57,41,"New York City","NY"
"128",2001-05-08,52,62,43,"New York City","NY"
"129",2001-05-09,57,66,50,"New York City","NY"
"130",2001-05-10,68,82,55,"New York City","NY"
"131",2001-05-11,69,81,57,"New York City","NY"
"132",2001-05-12,72,82,61,"New York City","NY"
"133",2001-05-13,62,69,54,"New York City","NY"
"134",2001-05-14,60,72,51,"New York City","NY"
"135",2001-05-15,62,73,52,"New York City","NY"
"136",2001-05-16,56,61,51,"New York City","NY"
"137",2001-05-17,56,61,52,"New York City","NY"
"138",2001-05-18,56,57,54,"New York City","NY"
"139",2001-05-19,63,73,55,"New York City","NY"
"140",2001-05-20,56,59,52,"New York City","NY"
"141",2001-05-21,55,60,51,"New York City","NY"
"142",2001-05-22,60,63,57,"New York City","NY"
"143",2001-05-23,58,61,55,"New York City","NY"
"144",2001-05-24,60,64,55,"New York City","NY"
"145",2001-05-25,56,57,54,"New York City","NY"
"146",2001-05-26,60,64,55,"New York City","NY"
"147",2001-05-27,62,66,57,"New York City","NY"
"148",2001-05-28,64,73,55,"New York City","NY"
"149",2001-05-29,64,71,57,"New York City","NY"
"150",2001-05-30,60,66,55,"New York City","NY"
"151",2001-05-31,60,70,51,"New York City","NY"
"152",2001-06-01,58,64,51,"New York City","NY"
"153",2001-06-02,64,70,60,"New York City","NY"
"154",2001-06-03,66,75,59,"New York City","NY"
"155",2001-06-04,65,75,57,"New York City","NY"
"156",2001-06-05,67,77,57,"New York City","NY"
"157",2001-06-06,72,79,66,"New York City","NY"
"158",2001-06-07,66,75,60,"New York City","NY"
"159",2001-06-08,72,81,62,"New York City","NY"
"160",2001-06-09,72,81,62,"New York City","NY"
"161",2001-06-10,73,82,64,"New York City","NY"
"162",2001-06-11,69,77,63,"New York City","NY"
"163",2001-06-12,70,77,64,"New York City","NY"
"164",2001-06-13,72,80,66,"New York City","NY"
"165",2001-06-14,72,78,66,"New York City","NY"
"166",2001-06-15,72,80,66,"New York City","NY"
"167",2001-06-16,76,82,70,"New York City","NY"
"168",2001-06-17,72,77,66,"New York City","NY"
"169",2001-06-18,74,82,66,"New York City","NY"
"170",2001-06-19,73,80,66,"New York City","NY"
"171",2001-06-20,73,82,66,"New York City","NY"
"172",2001-06-21,72,75,68,"New York City","NY"
"173",2001-06-22,72,79,66,"New York City","NY"
"174",2001-06-23,74,79,69,"New York City","NY"
"175",2001-06-24,72,79,66,"New York City","NY"
"176",2001-06-25,74,84,66,"New York City","NY"
"177",2001-06-26,78,88,68,"New York City","NY"
"178",2001-06-27,81,93,71,"New York City","NY"
"179",2001-06-28,84,93,78,"New York City","NY"
"180",2001-06-29,76,80,73,"New York City","NY"
"181",2001-06-30,82,91,73,"New York City","NY"
"182",2001-07-01,78,89,69,"New York City","NY"
"183",2001-07-02,64,75,55,"New York City","NY"
"184",2001-07-03,65,75,57,"New York City","NY"
"185",2001-07-04,70,75,66,"New York City","NY"
"186",2001-07-05,73,80,66,"New York City","NY"
"187",2001-07-06,69,75,63,"New York City","NY"
"188",2001-07-07,68,75,62,"New York City","NY"
"189",2001-07-08,68,75,64,"New York City","NY"
"190",2001-07-09,74,80,68,"New York City","NY"
"191",2001-07-10,79,87,71,"New York City","NY"
"192",2001-07-11,75,84,68,"New York City","NY"
"193",2001-07-12,72,79,66,"New York City","NY"
"194",2001-07-13,69,79,63,"New York City","NY"
"195",2001-07-14,72,81,64,"New York City","NY"
"196",2001-07-15,72,82,63,"New York City","NY"
"197",2001-07-16,73,81,66,"New York City","NY"
"198",2001-07-17,78,84,71,"New York City","NY"
"199",2001-07-18,73,79,68,"New York City","NY"
"200",2001-07-19,72,78,66,"New York City","NY"
"201",2001-07-20,70,80,62,"New York City","NY"
"202",2001-07-21,72,82,62,"New York City","NY"
"203",2001-07-22,71,79,64,"New York City","NY"
"204",2001-07-23,75,82,68,"New York City","NY"
"205",2001-07-24,78,84,71,"New York City","NY"
"206",2001-07-25,84,91,78,"New York City","NY"
"207",2001-07-26,73,81,64,"New York City","NY"
"208",2001-07-27,68,78,60,"New York City","NY"
"209",2001-07-28,68,77,62,"New York City","NY"
"210",2001-07-29,70,75,64,"New York City","NY"
"211",2001-07-30,70,78,62,"New York City","NY"
"212",2001-07-31,70,81,60,"New York City","NY"
"213",2001-08-01,77,88,66,"New York City","NY"
"214",2001-08-02,79,88,71,"New York City","NY"
"215",2001-08-03,76,82,71,"New York City","NY"
"216",2001-08-04,75,79,71,"New York City","NY"
"217",2001-08-05,74,82,68,"New York City","NY"
"218",2001-08-06,79,87,72,"New York City","NY"
"219",2001-08-07,85,96,75,"New York City","NY"
"220",2001-08-08,90,99,82,"New York City","NY"
"221",2001-08-09,86,98,75,"New York City","NY"
"222",2001-08-10,82,90,73,"New York City","NY"
"223",2001-08-11,75,77,73,"New York City","NY"
"224",2001-08-12,74,78,71,"New York City","NY"
"225",2001-08-13,77,81,73,"New York City","NY"
"226",2001-08-14,75,86,66,"New York City","NY"
"227",2001-08-15,73,82,66,"New York City","NY"
