"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,42,55,30,"Orlando","FL"
"2",2001-01-02,46,50,41,"Orlando","FL"
"3",2001-01-03,46,57,36,"Orlando","FL"
"4",2001-01-04,43,52,34,"Orlando","FL"
"5",2001-01-05,45,62,28,"Orlando","FL"
"6",2001-01-06,52,66,39,"Orlando","FL"
"7",2001-01-07,50,69,30,"Orlando","FL"
"8",2001-01-08,58,70,46,"Orlando","FL"
"9",2001-01-09,48,57,37,"Orlando","FL"
"10",2001-01-10,46,59,33,"Orlando","FL"
"11",2001-01-11,56,70,43,"Orlando","FL"
"12",2001-01-12,64,77,48,"Orlando","FL"
"13",2001-01-13,56,66,46,"Orlando","FL"
"14",2001-01-14,62,75,50,"Orlando","FL"
"15",2001-01-15,65,77,53,"Orlando","FL"
"16",2001-01-16,66,75,57,"Orlando","FL"
"17",2001-01-17,68,79,57,"Orlando","FL"
"18",2001-01-18,70,81,60,"Orlando","FL"
"19",2001-01-19,70,84,57,"Orlando","FL"
"20",2001-01-20,56,70,42,"Orlando","FL"
"21",2001-01-21,44,54,34,"Orlando","FL"
"22",2001-01-22,51,59,43,"Orlando","FL"
"23",2001-01-23,52,62,42,"Orlando","FL"
"24",2001-01-24,54,66,41,"Orlando","FL"
"25",2001-01-25,54,64,42,"Orlando","FL"
"26",2001-01-26,50,64,35,"Orlando","FL"
"27",2001-01-27,55,71,39,"Orlando","FL"
"28",2001-01-28,58,73,42,"Orlando","FL"
"29",2001-01-29,64,77,50,"Orlando","FL"
"30",2001-01-30,70,78,61,"Orlando","FL"
"31",2001-01-31,72,82,63,"Orlando","FL"
"32",2001-02-01,67,73,61,"Orlando","FL"
"33",2001-02-02,60,66,54,"Orlando","FL"
"34",2001-02-03,54,57,51,"Orlando","FL"
"35",2001-02-04,56,59,53,"Orlando","FL"
"36",2001-02-05,56,64,44,"Orlando","FL"
"37",2001-02-06,55,73,37,"Orlando","FL"
"38",2001-02-07,62,75,48,"Orlando","FL"
"39",2001-02-08,65,78,52,"Orlando","FL"
"40",2001-02-09,68,81,55,"Orlando","FL"
"41",2001-02-10,70,84,55,"Orlando","FL"
"42",2001-02-11,70,81,60,"Orlando","FL"
"43",2001-02-12,71,82,60,"Orlando","FL"
"44",2001-02-13,71,80,62,"Orlando","FL"
"45",2001-02-14,72,82,62,"Orlando","FL"
"46",2001-02-15,71,82,60,"Orlando","FL"
"47",2001-02-16,74,86,62,"Orlando","FL"
"48",2001-02-17,71,82,60,"Orlando","FL"
"49",2001-02-18,64,75,53,"Orlando","FL"
"50",2001-02-19,63,75,51,"Orlando","FL"
"51",2001-02-20,66,77,54,"Orlando","FL"
"52",2001-02-21,68,80,55,"Orlando","FL"
"53",2001-02-22,68,82,53,"Orlando","FL"
"54",2001-02-23,68,77,60,"Orlando","FL"
"55",2001-02-24,72,81,62,"Orlando","FL"
"56",2001-02-25,75,86,64,"Orlando","FL"
"57",2001-02-26,74,86,62,"Orlando","FL"
"58",2001-02-27,75,86,64,"Orlando","FL"
"59",2001-02-28,74,84,64,"Orlando","FL"
"60",2001-03-01,74,84,64,"Orlando","FL"
"61",2001-03-02,75,84,64,"Orlando","FL"
"62",2001-03-03,74,88,61,"Orlando","FL"
"63",2001-03-04,70,79,62,"Orlando","FL"
"64",2001-03-05,61,68,54,"Orlando","FL"
"65",2001-03-06,55,64,46,"Orlando","FL"
"66",2001-03-07,56,68,45,"Orlando","FL"
"67",2001-03-08,56,70,43,"Orlando","FL"
"68",2001-03-09,60,77,44,"Orlando","FL"
"69",2001-03-10,65,75,55,"Orlando","FL"
"70",2001-03-11,67,81,53,"Orlando","FL"
"71",2001-03-12,72,88,55,"Orlando","FL"
"72",2001-03-13,76,82,69,"Orlando","FL"
"73",2001-03-14,68,75,60,"Orlando","FL"
"74",2001-03-15,74,87,62,"Orlando","FL"
"75",2001-03-16,77,86,68,"Orlando","FL"
"76",2001-03-17,72,80,63,"Orlando","FL"
"77",2001-03-18,62,66,57,"Orlando","FL"
