"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,42,48,36,"Seattle","WA"
"2",2001-01-02,46,54,39,"Seattle","WA"
"3",2001-01-03,44,48,41,"Seattle","WA"
"4",2001-01-04,49,54,44,"Seattle","WA"
"5",2001-01-05,46,51,41,"Seattle","WA"
"6",2001-01-06,42,46,37,"Seattle","WA"
"7",2001-01-07,44,55,34,"Seattle","WA"
"8",2001-01-08,44,50,37,"Seattle","WA"
"9",2001-01-09,40,48,33,"Seattle","WA"
"10",2001-01-10,46,51,41,"Seattle","WA"
"11",2001-01-11,45,48,42,"Seattle","WA"
"12",2001-01-12,42,44,39,"Seattle","WA"
"13",2001-01-13,38,39,37,"Seattle","WA"
"14",2001-01-14,39,41,37,"Seattle","WA"
"15",2001-01-15,36,41,30,"Seattle","WA"
"16",2001-01-16,32,37,28,"Seattle","WA"
"17",2001-01-17,34,39,28,"Seattle","WA"
"18",2001-01-18,41,43,39,"Seattle","WA"
"19",2001-01-19,42,48,37,"Seattle","WA"
"20",2001-01-20,42,48,37,"Seattle","WA"
"21",2001-01-21,42,45,39,"Seattle","WA"
"22",2001-01-22,43,53,33,"Seattle","WA"
"23",2001-01-23,50,55,46,"Seattle","WA"
"24",2001-01-24,44,48,37,"Seattle","WA"
"25",2001-01-25,39,48,30,"Seattle","WA"
"26",2001-01-26,42,48,36,"Seattle","WA"
"27",2001-01-27,36,43,30,"Seattle","WA"
"28",2001-01-28,36,43,30,"Seattle","WA"
"29",2001-01-29,42,46,37,"Seattle","WA"
"30",2001-01-30,42,44,39,"Seattle","WA"
"31",2001-01-31,42,46,39,"Seattle","WA"
"32",2001-02-01,44,50,37,"Seattle","WA"
"33",2001-02-02,44,48,39,"Seattle","WA"
"34",2001-02-03,42,46,37,"Seattle","WA"
"35",2001-02-04,45,51,39,"Seattle","WA"
"36",2001-02-05,42,44,37,"Seattle","WA"
"37",2001-02-06,37,41,32,"Seattle","WA"
"38",2001-02-07,33,39,27,"Seattle","WA"
"39",2001-02-08,33,36,30,"Seattle","WA"
"40",2001-02-09,41,46,35,"Seattle","WA"
"41",2001-02-10,38,46,30,"Seattle","WA"
"42",2001-02-11,40,48,33,"Seattle","WA"
"43",2001-02-12,38,46,30,"Seattle","WA"
"44",2001-02-13,38,46,30,"Seattle","WA"
"45",2001-02-14,37,44,30,"Seattle","WA"
"46",2001-02-15,36,42,30,"Seattle","WA"
"47",2001-02-16,34,39,30,"Seattle","WA"
"48",2001-02-17,41,48,34,"Seattle","WA"
"49",2001-02-18,44,50,37,"Seattle","WA"
"50",2001-02-19,43,51,35,"Seattle","WA"
"51",2001-02-20,45,54,36,"Seattle","WA"
"52",2001-02-21,48,54,41,"Seattle","WA"
"53",2001-02-22,44,50,37,"Seattle","WA"
"54",2001-02-23,41,46,36,"Seattle","WA"
"55",2001-02-24,42,48,37,"Seattle","WA"
"56",2001-02-25,42,48,36,"Seattle","WA"
"57",2001-02-26,39,48,30,"Seattle","WA"
"58",2001-02-27,44,54,33,"Seattle","WA"
"59",2001-02-28,42,50,33,"Seattle","WA"
"60",2001-03-01,40,45,35,"Seattle","WA"
"61",2001-03-02,40,45,35,"Seattle","WA"
"62",2001-03-03,38,46,30,"Seattle","WA"
"63",2001-03-04,44,53,34,"Seattle","WA"
