Date,Open,High,Low,Close,Volume
1/2/2001,276,276.33,261.05,263.85,"16,168,300"
1/3/2001,263.79,268.23,259.68,262.65,"18,772,700"
1/4/2001,262.63,262.74,246.22,247.74,"27,695,900"
1/5/2001,247.72,249.23,244.72,245.05,"17,030,800"
1/8/2001,244.96,250.42,244.73,250.42,"13,620,500"
1/9/2001,250.42,250.7,243.04,243.52,"15,088,300"
1/10/2001,243.52,243.69,240.08,242.81,"17,401,500"
1/11/2001,242.8,242.83,236.36,237.44,"17,597,500"
1/12/2001,237.03,237.07,224.08,226.68,"30,108,100"
1/16/2001,226.68,234.27,226.15,233.06,"22,452,300"
1/17/2001,233.19,234.72,229.98,230.11,"17,616,700"
1/18/2001,230.05,230.64,224.14,228.47,"21,349,300"
1/19/2001,228.33,228.39,224.31,225.52,"14,882,100"
1/22/2001,225.49,236.9,225.32,235.82,"18,191,600"
1/23/2001,235.87,241.04,230.27,240.32,"22,312,800"
1/24/2001,240.35,245.16,240.01,243.19,"17,635,600"
1/25/2001,243.2,246.1,242.96,245.4,"18,847,200"
1/26/2001,245.45,246,241.64,244,"12,396,600"
1/29/2001,244.02,247.02,243.59,244.02,"11,628,400"
1/30/2001,244.01,247,242.82,246.93,"16,303,700"
1/31/2001,246.93,246.93,242.13,243.38,"18,662,700"
2/1/2001,243.42,244.65,242.37,243.65,"14,717,400"
2/2/2001,243.65,247.76,243.03,247.74,"14,075,200"
2/5/2001,247.74,252.38,247.02,252.36,"12,240,600"
2/6/2001,252.36,252.44,247.2,248.14,"12,157,200"
2/7/2001,248.07,254.7,247.63,253.32,"15,830,400"
2/8/2001,252.99,255.26,252.01,252.71,"14,090,100"
2/9/2001,252.68,253.17,248.89,253.17,"12,880,100"
2/12/2001,253.17,259.26,253.17,259.2,"14,185,200"
2/13/2001,259.27,259.7,255.51,257.07,"13,152,400"
2/14/2001,257.06,259.62,256.51,257.16,"12,263,700"
2/15/2001,257.14,257.14,253.1,253.44,"14,221,900"
2/16/2001,253.43,256.38,253.21,254.44,"13,043,400"
2/20/2001,254.52,254.9,248.94,249.15,"17,161,700"
2/21/2001,249.13,249.18,240.64,241.5,"16,376,600"
2/22/2001,241.42,243.36,238.56,243.16,"17,196,100"
2/23/2001,243.14,243.28,239.12,242.28,"10,767,000"
2/26/2001,242.35,246.37,242.34,246.28,"10,927,300"
2/27/2001,246.25,251.2,245.49,250.98,"15,753,800"
2/28/2001,251.06,252.76,246.03,246.99,"16,847,800"
3/1/2001,246.98,249.19,245.81,248.62,"23,724,800"
3/2/2001,248.63,253.59,247.34,251.5,"15,792,500"
3/5/2001,251.7,252.99,248.89,251.38,"10,545,900"
3/6/2001,251.45,253.36,249.56,250.89,"12,573,000"
3/7/2001,250.9,254.09,250.58,253.57,"11,361,700"
3/8/2001,253.56,257.29,253.48,257.04,"13,194,900"
3/9/2001,256.94,257.43,253.74,254.69,"12,878,700"
3/12/2001,254.62,256.18,248.54,248.95,"14,861,900"
3/13/2001,248.96,249.08,244.84,247.47,"12,724,700"
3/14/2001,247.47,247.47,240.39,242.45,"14,146,000"
3/15/2001,242.5,248.24,242.42,246.66,"14,439,500"
3/16/2001,246.37,248.09,245,245.29,"16,026,400"
3/19/2001,245.27,245.84,240.19,243.14,"15,918,600"
3/20/2001,243.2,246.15,241.31,241.38,"13,164,200"
3/21/2001,241.33,241.46,238.16,238.31,"15,129,000"
3/22/2001,238.28,239.34,230.86,234.8,"20,808,500"
3/23/2001,234.79,241.53,234.7,240.07,"16,581,800"
3/26/2001,240.08,245.28,240.02,244.58,"13,003,300"
3/27/2001,244.56,245.32,240.96,243.39,"19,974,000"
3/28/2001,243.39,244.12,242.23,243.72,"15,911,800"
3/29/2001,243.72,248.67,243.37,248.22,"17,044,700"
3/30/2001,248.2,257.1,248.11,256.93,"19,207,700"
4/2/2001,256.86,262.47,256.56,257.68,"19,078,800"
4/3/2001,257.66,257.72,251.08,251.76,"15,069,200"
4/4/2001,251.74,251.91,248.22,250.09,"15,808,400"
4/5/2001,250.12,255.65,250.09,255.65,"15,407,700"
4/6/2001,255.62,255.64,247.27,247.48,"16,694,700"
4/9/2001,247.5,248.97,246.65,247.47,"11,999,700"
4/10/2001,247.37,249.68,247.22,248.89,"16,306,900"
4/11/2001,248.87,249.41,246.86,247.63,"16,056,100"
4/12/2001,247.63,248.72,243.94,245.35,"14,783,500"
4/16/2001,245.3,247.2,245.04,247.2,"13,658,900"
4/17/2001,247.15,247.96,244.92,247.66,"13,900,000"
4/18/2001,247.66,250.85,246.93,250.53,"26,578,800"
4/19/2001,250.5,257.3,250.31,256.71,"28,114,100"
4/20/2001,256.7,256.7,249.24,250.39,"18,695,600"
4/23/2001,250.38,250.7,248.8,250.7,"15,313,700"
4/24/2001,250.71,251.1,244.32,245.04,"20,999,300"
4/25/2001,245.09,248.23,243.82,247.57,"18,686,200"
4/26/2001,247.54,252.6,246.84,250.43,"19,680,700"
4/27/2001,250.44,255.89,250.37,255.47,"16,911,300"
4/30/2001,255.47,257.26,253.76,254.47,"14,710,600"
5/1/2001,254.44,255.9,253.2,255.9,"14,727,000"
5/2/2001,255.9,256.4,253.28,253.46,"13,930,200"
5/3/2001,253.48,253.51,250.74,252.95,"12,963,400"
5/4/2001,252.95,255.81,251.34,255.69,"16,206,100"
5/7/2001,255.7,256.54,254.84,254.93,"11,491,800"
5/8/2001,254.95,258.55,254.91,257.99,"16,905,000"
5/9/2001,257.98,259.78,257.18,258.53,"13,317,200"
5/10/2001,258.51,259.83,255.98,257.46,"14,916,600"
5/11/2001,257.38,261.08,257.36,257.88,"12,088,500"
5/14/2001,257.86,259.74,257.79,259.71,"9,708,400"
5/15/2001,259.73,261.42,258.82,261.41,"11,275,000"
5/16/2001,261.4,267.22,260.64,265.99,"14,756,500"
5/17/2001,266.04,267.34,265.02,265.66,"13,593,400"
5/18/2001,265.65,268.76,265.65,268.42,"12,792,300"
5/21/2001,268.4,272.6,268.31,272.26,"13,621,000"
5/22/2001,272.23,272.53,269.92,271.33,"13,143,500"
5/23/2001,271.34,271.62,268.94,269.56,"11,784,400"
5/24/2001,269.55,271.55,269.13,270.32,"10,895,800"
5/25/2001,270.32,270.87,269.15,270.08,"7,300,100"
5/29/2001,270.06,275.37,269.76,273.33,"13,337,000"
5/30/2001,273.33,275.4,272.96,274.63,"12,652,500"
5/31/2001,274.65,276.02,274.45,274.83,"12,470,800"
6/1/2001,274.83,275.15,268.83,269.5,"14,055,500"
6/4/2001,269.5,272.4,269.32,270.96,"11,359,100"
6/5/2001,270.92,274.62,270.88,274.48,"13,007,300"
6/6/2001,274.52,276.48,273.47,275.45,"13,021,500"
6/7/2001,275.46,276.12,272.41,274.13,"10,814,500"
6/8/2001,274.13,275.27,273.78,274.87,"8,032,000"
6/11/2001,275.15,276.24,274.36,275.39,"11,230,800"
6/12/2001,275.41,276.91,271.93,276.35,"13,028,500"
6/13/2001,276.33,279.8,276.33,278.31,"12,587,500"
6/14/2001,278.3,278.3,275.54,276.25,"12,334,400"
6/15/2001,276.18,276.64,274.35,275.93,"15,196,000"
6/18/2001,275.93,276.01,273.92,274.32,"8,963,500"
6/19/2001,274.32,275.13,272.81,272.88,"10,031,100"
6/20/2001,272.89,274.81,272.58,273.91,"13,916,400"
6/21/2001,273.89,278.09,273.63,278.09,"14,724,500"
6/22/2001,278.07,278.42,274.01,274.57,"12,303,300"
6/25/2001,274.57,274.87,272.33,272.47,"8,583,600"
6/26/2001,272.46,275.09,270.77,274.7,"13,606,200"
6/27/2001,274.7,278.25,274.24,277.66,"13,347,300"
6/28/2001,277.66,280.89,277.4,278.32,"19,476,900"
6/29/2001,278.25,278.62,274.62,276.14,"20,775,500"
7/2/2001,0,277.12,275,276.55,"12,877,900"
7/3/2001,276.51,277.62,275.29,276.13,"7,176,800"
7/5/2001,0,276.16,273.76,273.95,"10,687,500"
7/6/2001,273.9,274.18,270.92,270.93,"9,271,400"
7/9/2001,270.93,271.21,269.57,270.21,"10,334,100"
7/10/2001,270.18,270.24,266.7,267.42,"19,843,000"
7/11/2001,267.41,267.41,263.6,266.16,"18,276,000"
7/12/2001,266.16,268.49,266.14,268,"15,748,600"
7/13/2001,267.82,269.57,267.57,268.32,"16,657,000"
7/16/2001,268.32,269.78,267.65,267.98,"13,545,400"
7/17/2001,268,268.04,260.72,263.63,"27,120,300"
7/18/2001,263.55,264.74,262.43,264.57,"18,417,500"
7/19/2001,264.6,265.06,252.98,253.31,"39,537,500"
7/20/2001,253.3,253.7,246.25,246.57,"36,388,800"
7/23/2001,246.56,248.24,245.64,245.64,"19,132,400"
7/24/2001,245.65,248.71,244.23,244.69,"27,083,200"
