"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,14,23,6,"Chicago","IL"
"2",2001-01-02,12,18,6,"Chicago","IL"
"3",2001-01-03,18,28,8,"Chicago","IL"
"4",2001-01-04,24,30,19,"Chicago","IL"
"5",2001-01-05,30,36,21,"Chicago","IL"
"6",2001-01-06,26,33,19,"Chicago","IL"
"7",2001-01-07,28,34,21,"Chicago","IL"
"8",2001-01-08,20,26,14,"Chicago","IL"
"9",2001-01-09,16,23,10,"Chicago","IL"
"10",2001-01-10,26,34,19,"Chicago","IL"
"11",2001-01-11,28,39,18,"Chicago","IL"
"12",2001-01-12,31,37,25,"Chicago","IL"
"13",2001-01-13,34,35,33,"Chicago","IL"
"14",2001-01-14,34,36,32,"Chicago","IL"
"15",2001-01-15,32,35,30,"Chicago","IL"
"16",2001-01-16,28,30,26,"Chicago","IL"
"17",2001-01-17,22,26,19,"Chicago","IL"
"18",2001-01-18,24,30,19,"Chicago","IL"
"19",2001-01-19,22,27,17,"Chicago","IL"
"20",2001-01-20,18,24,10,"Chicago","IL"
"21",2001-01-21,18,25,10,"Chicago","IL"
"22",2001-01-22,18,28,7,"Chicago","IL"
"23",2001-01-23,28,34,21,"Chicago","IL"
"24",2001-01-24,22,27,17,"Chicago","IL"
"25",2001-01-25,20,25,14,"Chicago","IL"
"26",2001-01-26,26,30,21,"Chicago","IL"
"27",2001-01-27,20,26,15,"Chicago","IL"
"28",2001-01-28,21,28,14,"Chicago","IL"
"29",2001-01-29,35,42,28,"Chicago","IL"
"30",2001-01-30,34,37,32,"Chicago","IL"
"31",2001-01-31,31,34,27,"Chicago","IL"
"32",2001-02-01,18,30,3,"Chicago","IL"
"33",2001-02-02,6,12,0,"Chicago","IL"
"34",2001-02-03,19,30,10,"Chicago","IL"
"35",2001-02-04,30,34,27,"Chicago","IL"
"36",2001-02-05,29,32,26,"Chicago","IL"
"37",2001-02-06,29,35,19,"Chicago","IL"
"38",2001-02-07,26,35,17,"Chicago","IL"
"39",2001-02-08,42,53,33,"Chicago","IL"
"40",2001-02-09,36,54,19,"Chicago","IL"
"41",2001-02-10,16,19,12,"Chicago","IL"
"42",2001-02-11,18,27,10,"Chicago","IL"
"43",2001-02-12,29,37,21,"Chicago","IL"
"44",2001-02-13,34,37,32,"Chicago","IL"
"45",2001-02-14,32,36,28,"Chicago","IL"
"46",2001-02-15,30,32,27,"Chicago","IL"
"47",2001-02-16,23,30,14,"Chicago","IL"
"48",2001-02-17,12,18,6,"Chicago","IL"
"49",2001-02-18,18,28,7,"Chicago","IL"
"50",2001-02-19,35,42,28,"Chicago","IL"
"51",2001-02-20,27,35,18,"Chicago","IL"
"52",2001-02-21,14,19,10,"Chicago","IL"
"53",2001-02-22,23,27,19,"Chicago","IL"
"54",2001-02-23,23,30,18,"Chicago","IL"
"55",2001-02-24,42,55,30,"Chicago","IL"
"56",2001-02-25,42,55,28,"Chicago","IL"
"57",2001-02-26,31,39,23,"Chicago","IL"
"58",2001-02-27,23,28,17,"Chicago","IL"
"59",2001-02-28,20,27,12,"Chicago","IL"
"60",2001-03-01,30,41,19,"Chicago","IL"
"61",2001-03-02,36,41,28,"Chicago","IL"
"62",2001-03-03,34,48,21,"Chicago","IL"
"63",2001-03-04,28,33,24,"Chicago","IL"
"64",2001-03-05,23,28,18,"Chicago","IL"
"65",2001-03-06,28,34,21,"Chicago","IL"
"66",2001-03-07,34,44,23,"Chicago","IL"
"67",2001-03-08,31,34,27,"Chicago","IL"
"68",2001-03-09,31,37,23,"Chicago","IL"
"69",2001-03-10,34,48,19,"Chicago","IL"
"70",2001-03-11,32,37,28,"Chicago","IL"
"71",2001-03-12,40,48,31,"Chicago","IL"
"72",2001-03-13,36,41,31,"Chicago","IL"
"73",2001-03-14,39,50,28,"Chicago","IL"
