"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,25,35,15,"Denver","CO"
"2",2001-01-02,29,39,19,"Denver","CO"
"3",2001-01-03,38,54,23,"Denver","CO"
"4",2001-01-04,50,66,33,"Denver","CO"
"5",2001-01-05,47,66,28,"Denver","CO"
"6",2001-01-06,39,51,27,"Denver","CO"
"7",2001-01-07,28,39,18,"Denver","CO"
"8",2001-01-08,38,52,23,"Denver","CO"
"9",2001-01-09,41,55,27,"Denver","CO"
"10",2001-01-10,42,55,21,"Denver","CO"
"11",2001-01-11,36,53,19,"Denver","CO"
"12",2001-01-12,44,60,27,"Denver","CO"
"13",2001-01-13,30,39,18,"Denver","CO"
"14",2001-01-14,26,39,12,"Denver","CO"
"15",2001-01-15,22,33,10,"Denver","CO"
"16",2001-01-16,14,23,6,"Denver","CO"
"17",2001-01-17,14,25,3,"Denver","CO"
"18",2001-01-18,26,35,18,"Denver","CO"
"19",2001-01-19,22,35,10,"Denver","CO"
"20",2001-01-20,29,39,19,"Denver","CO"
"21",2001-01-21,30,45,16,"Denver","CO"
"22",2001-01-22,36,44,27,"Denver","CO"
"23",2001-01-23,29,35,23,"Denver","CO"
"24",2001-01-24,29,39,19,"Denver","CO"
"25",2001-01-25,30,41,19,"Denver","CO"
"26",2001-01-26,26,34,19,"Denver","CO"
"27",2001-01-27,24,28,21,"Denver","CO"
"28",2001-01-28,22,24,19,"Denver","CO"
"29",2001-01-29,28,36,19,"Denver","CO"
"30",2001-01-30,22,32,12,"Denver","CO"
"31",2001-01-31,22,28,15,"Denver","CO"
"32",2001-02-01,22,35,10,"Denver","CO"
"33",2001-02-02,32,43,21,"Denver","CO"
"34",2001-02-03,32,42,23,"Denver","CO"
"35",2001-02-04,30,44,17,"Denver","CO"
"36",2001-02-05,42,55,28,"Denver","CO"
"37",2001-02-06,32,39,24,"Denver","CO"
"38",2001-02-07,24,30,19,"Denver","CO"
"39",2001-02-08,12,19,5,"Denver","CO"
"40",2001-02-09,6,19,-7,"Denver","CO"
"41",2001-02-10,14,28,0,"Denver","CO"
"42",2001-02-11,25,43,7,"Denver","CO"
"43",2001-02-12,30,42,19,"Denver","CO"
"44",2001-02-13,31,45,17,"Denver","CO"
"45",2001-02-14,11,17,5,"Denver","CO"
"46",2001-02-15,20,39,1,"Denver","CO"
"47",2001-02-16,23,27,19,"Denver","CO"
"48",2001-02-17,34,46,21,"Denver","CO"
"49",2001-02-18,38,52,25,"Denver","CO"
"50",2001-02-19,40,48,32,"Denver","CO"
"51",2001-02-20,36,45,27,"Denver","CO"
"52",2001-02-21,37,48,26,"Denver","CO"
"53",2001-02-22,42,53,30,"Denver","CO"
"54",2001-02-23,32,37,28,"Denver","CO"
"55",2001-02-24,32,35,28,"Denver","CO"
"56",2001-02-25,38,52,25,"Denver","CO"
"57",2001-02-26,32,39,24,"Denver","CO"
"58",2001-02-27,18,23,12,"Denver","CO"
"59",2001-02-28,25,33,17,"Denver","CO"
"60",2001-03-01,40,51,30,"Denver","CO"
