"","date","avgTemp","maxTemp","minTemp","city","state"
"1",2001-01-01,6,16,-4,"St. Paul","MN"
"2",2001-01-02,10,25,-5,"St. Paul","MN"
"3",2001-01-03,22,28,17,"St. Paul","MN"
"4",2001-01-04,29,39,19,"St. Paul","MN"
"5",2001-01-05,24,33,15,"St. Paul","MN"
"6",2001-01-06,28,37,19,"St. Paul","MN"
"7",2001-01-07,21,25,17,"St. Paul","MN"
"8",2001-01-08,18,23,10,"St. Paul","MN"
"9",2001-01-09,18,30,7,"St. Paul","MN"
"10",2001-01-10,32,36,28,"St. Paul","MN"
"11",2001-01-11,30,35,25,"St. Paul","MN"
"12",2001-01-12,30,33,27,"St. Paul","MN"
"13",2001-01-13,29,34,24,"St. Paul","MN"
"14",2001-01-14,34,35,32,"St. Paul","MN"
"15",2001-01-15,28,33,21,"St. Paul","MN"
"16",2001-01-16,16,19,14,"St. Paul","MN"
"17",2001-01-17,12,19,5,"St. Paul","MN"
"18",2001-01-18,24,30,15,"St. Paul","MN"
"19",2001-01-19,5,12,-2,"St. Paul","MN"
"20",2001-01-20,6,18,-7,"St. Paul","MN"
"21",2001-01-21,10,17,3,"St. Paul","MN"
"22",2001-01-22,16,30,3,"St. Paul","MN"
"23",2001-01-23,22,28,15,"St. Paul","MN"
"24",2001-01-24,12,19,3,"St. Paul","MN"
"25",2001-01-25,12,23,0,"St. Paul","MN"
"26",2001-01-26,19,26,12,"St. Paul","MN"
"27",2001-01-27,13,26,0,"St. Paul","MN"
"28",2001-01-28,14,19,10,"St. Paul","MN"
"29",2001-01-29,22,34,9,"St. Paul","MN"
"30",2001-01-30,32,33,32,"St. Paul","MN"
"31",2001-01-31,26,32,18,"St. Paul","MN"
"32",2001-02-01,6,19,-8,"St. Paul","MN"
"33",2001-02-02,-6,3,-13,"St. Paul","MN"
"34",2001-02-03,14,24,5,"St. Paul","MN"
"35",2001-02-04,20,24,17,"St. Paul","MN"
"36",2001-02-05,21,28,14,"St. Paul","MN"
"37",2001-02-06,20,28,10,"St. Paul","MN"
"38",2001-02-07,18,24,12,"St. Paul","MN"
"39",2001-02-08,25,27,23,"St. Paul","MN"
"40",2001-02-09,12,23,0,"St. Paul","MN"
"41",2001-02-10,-1,7,-9,"St. Paul","MN"
"42",2001-02-11,8,19,-2,"St. Paul","MN"
"43",2001-02-12,18,26,10,"St. Paul","MN"
"44",2001-02-13,18,28,9,"St. Paul","MN"
"45",2001-02-14,8,14,1,"St. Paul","MN"
"46",2001-02-15,6,16,-5,"St. Paul","MN"
"47",2001-02-16,7,14,-2,"St. Paul","MN"
"48",2001-02-17,-1,7,-9,"St. Paul","MN"
"49",2001-02-18,10,27,-5,"St. Paul","MN"
"50",2001-02-19,20,28,10,"St. Paul","MN"
"51",2001-02-20,8,15,0,"St. Paul","MN"
"52",2001-02-21,0,9,-8,"St. Paul","MN"
"53",2001-02-22,14,21,8,"St. Paul","MN"
