date,avgTemp,maxTemp,minTemp,During,Strong,Death,high_temp,temp_diff,season,DJI,DJUSIP,DJUSIP_Volume,DJU,DJU_Volume
2001-01-02,32.27272727,40.45454545,24,0,0,0,0,16.45454545,Winter,10646.15039,263.85,16168300,398.730011,172100
2001-01-03,35.36363636,45.63636364,25.72727273,0,0,0,0,19.90909091,Winter,10945.75,262.65,18772700,374.929993,365000
2001-01-04,40.45454545,48.90909091,31.90909091,0,0,0,0,17,Winter,10912.41016,247.74,27695900,352.839996,869600
2001-01-05,39.63636364,49.72727273,29.36363636,0,0,0,0,20.36363637,Winter,10662.00977,245.05,17030800,352.730011,393900
2001-01-08,38.90909091,47.18181818,30.18181818,0,0,0,0,17,Winter,10621.34961,250.42,13620500,360.309998,303000
2001-01-09,36.09090909,45.27272727,26.72727273,0,0,0,0,18.54545454,Winter,10572.54981,243.52,15088300,354.899994,296800
2001-01-10,37.81818182,45.45454545,29.36363636,0,0,0,0,16.09090909,Winter,10604.26953,242.81,17401500,351.480011,312600
2001-01-11,40.54545455,48.81818182,32.54545455,0,0,0,0,16.27272727,Winter,10609.54981,237.44,17597500,338.149994,371100
2001-01-12,42.27272727,48.36363636,35.27272727,0,0,0,0,13.09090909,Winter,10525.37988,226.68,30108100,345.640015,363600
2001-01-16,39.09090909,44.81818182,33.45454545,0,0,0,0,11.36363637,Winter,10652.66016,233.06,22452300,339.589996,376200
2001-01-17,37.90909091,44.09090909,31.45454545,0,0,0,0,12.63636364,Winter,10584.33984,230.11,17616700,343.190002,501300
2001-01-18,39.27272727,45.09090909,33.54545455,0,0,0,0,11.54545454,Winter,10678.28027,228.47,21349300,348.420013,358200
2001-01-19,38.18181818,45.36363636,31.09090909,0,0,0,0,14.27272727,Winter,10587.58984,225.52,14882100,351.299988,331200
2001-01-22,35.63636364,43.36363636,27.72727273,0,0,0,0,15.63636363,Winter,10578.24023,235.82,18191600,357.959991,239200
2001-01-23,38.09090909,45.45454545,30.72727273,0,0,0,0,14.72727272,Winter,10649.80957,240.32,22312800,363.100006,232900
2001-01-24,37.72727273,44.63636364,30.09090909,0,0,0,0,14.54545455,Winter,10646.96973,243.19,17635600,368.390015,285300
2001-01-25,36,44,27.27272727,0,0,0,0,16.72727273,Winter,10729.51953,245.4,18847200,377.23999,362000
2001-01-26,36.72727273,44.36363636,29,0,0,0,0,15.36363636,Winter,10659.98047,244,12396600,375.649994,287300
2001-01-29,40.72727273,48.27272727,32.90909091,0,0,0,0,15.36363636,Winter,10702.19043,244.02,11628400,377.970001,234800
2001-01-30,44.63636364,50.54545455,38.81818182,0,0,0,0,11.72727273,Winter,10881.2002,246.93,16303700,373.76001,292800
2001-01-31,43.54545455,49.81818182,36.81818182,0,0,0,0,13,Winter,10887.36035,243.38,18662700,372.320007,368200
2001-02-01,40,49,30.72727273,0,0,0,0,18.27272727,Winter,10983.62988,243.65,14717400,369.410004,231100
2001-02-02,36.36363636,43.63636364,28.90909091,0,0,0,0,14.72727273,Winter,10864.09961,247.74,14075200,371.970001,200100
2001-02-05,43,49.90909091,35.45454545,0,0,0,0,14.45454546,Winter,10965.84961,252.36,12240600,376.859985,190800
2001-02-06,42,49.45454545,33.90909091,0,0,0,0,15.54545454,Winter,10957.41992,248.14,12157200,375.890015,220500
2001-02-07,40.63636364,47.81818182,33.45454545,0,0,0,0,14.36363637,Winter,10946.71973,253.32,15830400,381.019989,215900
2001-02-08,42.72727273,48.45454545,37.45454545,0,0,0,0,11,Winter,10880.54981,252.71,14090100,387.089996,191800
2001-02-09,42,52.45454545,31.09090909,0,0,0,0,21.36363636,Winter,10781.4502,253.17,12880100,393.26001,182500
2001-02-12,39.18181818,46.63636364,31.63636364,0,0,0,0,15,Winter,10946.76953,259.2,14185200,389.709991,270700
