station,date,avgTemp,maxTemp,minTemp
KDTW,20010101,20,24,12
KDTW,20010102,14,24,5
KDTW,20010103,15,26,5
KDTW,20010104,26,27,24
KDTW,20010105,31,36,26
KDTW,20010106,28,33,24
KDTW,20010107,30,33,28
KDTW,20010108,20,30,10
KDTW,20010109,16,27,5
KDTW,20010110,28,37,18
KDTW,20010111,30,37,23
KDTW,20010112,32,33,30
KDTW,20010113,30,33,28
KDTW,20010114,32,36,28
KDTW,20010115,35,36,34
KDTW,20010116,34,36,33
KDTW,20010117,30,33,26
KDTW,20010118,26,30,23
KDTW,20010119,24,32,17
KDTW,20010120,18,24,12
KDTW,20010121,18,27,10
KDTW,20010122,27,30,24
KDTW,20010123,30,36,24
KDTW,20010124,28,30,24
KDTW,20010125,22,27,17
KDTW,20010126,22,30,14
KDTW,20010127,23,30,14
KDTW,20010128,19,26,12
KDTW,20010129,27,35,19
KDTW,20010130,38,41,35
KDTW,20010131,35,37,33
KDTW,20010201,32,35,30
KDTW,20010202,22,30,15
KDTW,20010203,20,27,12
KDTW,20010204,32,37,27
KDTW,20010205,33,36,30
KDTW,20010206,31,34,28
KDTW,20010207,30,35,24
KDTW,20010208,34,39,30
KDTW,20010209,44,55,30
KDTW,20010210,24,28,19
KDTW,20010211,20,24,16
KDTW,20010212,29,37,21
KDTW,20010213,32,37,28
KDTW,20010214,36,39,32
KDTW,20010215,30,33,26
KDTW,20010216,30,35,25
KDTW,20010217,19,23,15
KDTW,20010218,21,28,14
KDTW,20010219,32,43,21
KDTW,20010220,35,42,27
KDTW,20010221,22,26,17
KDTW,20010222,22,28,17
KDTW,20010223,30,33,25
KDTW,20010224,29,34,24
KDTW,20010225,44,54,33
KDTW,20010226,38,43,32
KDTW,20010227,30,36,23
KDTW,20010228,23,30,16
KDTW,20010301,31,41,21
KDTW,20010302,37,44,30
KDTW,20010303,36,44,28
KDTW,20010304,36,44,28
KDTW,20010305,24,30,19
KDTW,20010306,26,30,23
KDTW,20010307,31,34,28
KDTW,20010308,32,37,27
KDTW,20010309,30,33,26
KDTW,20010310,34,44,24
KDTW,20010311,36,43,27
KDTW,20010312,34,42,26
KDTW,20010313,40,46,34
KDTW,20010314,42,51,34
KDTW,20010315,40,46,34
KDTW,20010316,32,35,30
KDTW,20010317,31,35,27
KDTW,20010318,34,46,21
KDTW,20010319,37,46,28
KDTW,20010320,42,51,33
KDTW,20010321,43,54,32
KDTW,20010322,44,55,32
KDTW,20010323,44,53,35
KDTW,20010324,32,39,25
KDTW,20010325,22,28,16
KDTW,20010326,19,28,10
KDTW,20010327,28,36,21
KDTW,20010328,35,46,24
KDTW,20010329,41,46,36
KDTW,20010330,42,50,34
KDTW,20010331,40,44,36
KDTW,20010401,36,39,33
KDTW,20010402,43,55,32
KDTW,20010403,44,53,37
KDTW,20010404,43,55,32
KDTW,20010405,48,60,36
KDTW,20010406,58,71,46
KDTW,20010407,54,70,44
KDTW,20010408,71,79,61
KDTW,20010409,52,60,43
KDTW,20010410,45,50,42
KDTW,20010411,54,63,46
KDTW,20010412,63,73,53
KDTW,20010413,54,62,46
KDTW,20010414,51,64,39
KDTW,20010415,44,48,39
KDTW,20010416,40,48,32
KDTW,20010417,38,48,30
KDTW,20010418,40,53,28
KDTW,20010419,46,57,34
KDTW,20010420,48,54,45
KDTW,20010421,62,73,53
KDTW,20010422,64,70,57
KDTW,20010423,66,80,54
KDTW,20010424,50,57,43
KDTW,20010425,46,55,37
KDTW,20010426,52,66,39
KDTW,20010427,57,66,46
KDTW,20010428,47,59,37
KDTW,20010429,49,62,37
KDTW,20010430,59,75,43
KDTW,20010501,66,81,52
KDTW,20010502,71,84,59
KDTW,20010503,72,84,59
KDTW,20010504,70,84,55
KDTW,20010505,59,66,52
KDTW,20010506,62,82,55
KDTW,20010507,64,71,57
KDTW,20010508,64,73,54
KDTW,20010509,66,78,55
KDTW,20010510,68,82,55
KDTW,20010511,66,75,55
KDTW,20010512,54,62,46
KDTW,20010513,52,66,39
KDTW,20010514,58,70,46
KDTW,20010515,57,59,55
